Time,SETPOINT,PV 1,PV 2,MV 1,MV 2
440,20,4,20,10,39
441,20,3,20,10,41
442,20,2,20,10,47
443,20,3,20,10,47
444,20,4,20,9,45
445,20,5,20,9,40
446,20,4,20,10,40
447,20,3,20,10,42
448,20,3,20,10,44
449,20,4,20,10,43
450,20,5,20,10,42
451,20,5,20,10,40
452,20,5,20,10,40
453,20,4,20,10,40
454,20,4,20,10,42
455,20,4,20,10,41
456,20,4,20,10,42
457,20,4,20,10,42
458,20,5,20,10,42
459,20,5,20,10,40
460,20,3,20,10,41
461,20,3,20,10,43
462,20,3,20,10,44
463,20,4,20,10,43
464,20,5,20,10,41
465,20,5,20,10,40
466,20,4,20,10,40
467,20,3,20,10,41
468,20,2,20,10,44
469,20,3,20,10,46
470,20,4,20,10,42
471,20,5,20,10,40
472,20,5,20,10,40
473,20,4,20,10,40
474,20,3,20,10,41
475,20,2,20,10,43
476,20,3,20,10,44
477,20,4,20,10,43
478,20,5,20,10,41
479,20,5,20,10,40
480,20,5,20,10,40
481,20,5,20,10,40
482,20,5,20,10,40
483,20,3,20,10,41
484,20,2,20,10,44
485,20,3,20,10,47
486,20,4,20,10,44
487,20,5,20,10,42
488,20,5,20,10,40
489,20,5,20,10,40
490,20,3,20,10,41
491,20,2,20,10,43
492,20,3,20,10,47
493,20,4,20,10,45
494,20,5,20,10,41
495,20,5,20,10,40
496,20,5,20,10,40
497,20,4,20,10,40
498,20,3,20,10,42
499,20,3,20,10,44
500,20,4,20,10,43
501,20,5,20,10,42
502,20,5,20,10,40
503,20,5,20,10,40
504,20,5,20,10,40
505,20,5,20,10,40
506,20,4,20,10,40
507,20,3,20,10,43
508,20,3,20,10,44
509,20,4,20,10,44
510,20,4,20,10,42
511,20,5,20,10,40
512,20,5,20,10,40
513,20,4,20,10,40
514,20,3,20,10,43
515,20,3,20,10,44
516,20,4,20,10,44
517,20,5,20,10,42
518,20,5,20,10,40
519,20,5,20,10,40
520,20,3,20,10,40
521,20,3,20,10,43
522,20,3,20,10,44
523,20,4,20,10,42
524,20,5,20,10,41
525,20,5,20,10,40
526,20,4,20,10,40
527,20,3,20,10,41
528,20,3,20,10,43
529,20,4,20,10,43
530,20,4,20,10,42
531,20,5,20,10,40
532,20,5,20,10,40
533,20,4,20,10,40
534,20,3,20,10,41
535,20,3,20,10,44
536,20,4,20,10,43
537,20,4,20,10,42
538,20,5,20,10,41
539,20,5,20,10,40
540,20,5,20,10,40
541,20,4,20,10,39
542,20,3,20,10,42
543,20,3,20,10,44
544,20,4,20,10,44
545,20,4,20,10,42
546,20,5,20,10,42
547,20,5,20,10,40
548,20,5,20,10,39
549,20,5,20,10,40
550,20,4,20,10,40
551,20,4,20,10,41
552,20,4,20,10,41
553,20,5,20,10,40
554,20,4,20,10,40
555,20,3,20,10,42
556,20,3,20,10,45
557,20,4,20,10,43
558,20,5,20,10,42
559,20,5,20,10,41
560,20,5,20,10,39
561,20,5,20,10,39
562,20,5,20,10,39
563,20,3,20,10,42
564,20,3,20,10,44
565,20,3,20,10,43
566,20,4,20,10,43
567,20,4,20,10,42
568,20,5,20,10,42
569,20,5,20,10,39
570,20,3,20,10,42
571,20,3,20,10,43
572,20,3,20,10,44
573,20,4,20,10,43
574,20,4,20,10,42
575,20,4,20,10,42
576,20,3,20,10,42
577,20,2,20,10,43
578,20,3,20,10,47
579,20,4,20,10,44
580,20,5,20,10,43
581,20,5,20,10,40
582,20,5,20,10,40
583,20,4,20,10,40
584,20,3,20,10,42
585,20,3,20,10,44
586,20,4,20,10,44
587,20,5,20,10,42
588,20,5,20,10,40
589,20,5,20,10,40
590,20,5,20,10,40
591,20,5,20,10,40
592,20,4,20,10,40
593,20,3,20,10,43
594,20,3,20,10,46
595,20,4,20,10,44
596,20,5,20,10,42
597,20,4,20,10,41
598,20,4,20,10,42
599,20,4,20,10,42
600,20,4,20,10,42
601,20,4,20,10,42
602,32,4,20,20,42
603,32,5,20,22,53
604,32,7,20,24,52
605,32,9,20,25,49
606,32,11,20,27,46
607,32,12,21,25,44
608,32,12,21,29,43
609,32,13,21,31,43
610,32,13,21,33,44
611,32,14,22,33,46
612,32,14,22,35,43
613,32,14,22,36,44
614,32,15,22,38,44
615,32,16,23,37,44
616,32,16,23,39,44
617,32,16,23,41,44
618,32,16,23,42,45
619,32,17,24,43,43
620,32,17,24,44,45
621,32,18,24,45,46
622,32,18,25,43,42
623,32,19,25,46,43
624,32,18,25,47,45
625,32,19,26,45,43
626,32,19,26,48,43
627,32,19,26,49,44
628,32,20,27,47,41
629,32,20,27,50,43
630,32,20,27,50,44
631,32,20,27,51,44
632,32,20,28,51,43
633,32,21,28,51,45
634,32,21,28,52,44
635,32,21,29,50,43
636,32,21,29,52,44
637,32,21,29,53,44
638,32,22,29,53,44
639,32,22,30,51,42
640,32,21,30,53,44
641,32,21,30,53,45
642,32,22,30,54,45
643,32,22,31,53,43
644,32,22,31,53,42
645,32,22,31,53,42
646,32,21,31,54,44
647,32,21,31,54,46
648,32,21,32,53,41
649,32,20,32,53,45
650,32,21,32,53,47
651,32,21,32,53,45
652,32,21,32,53,45
