SETPOINT,PV 1,PV 2,MV 1,MV 2,Outcome
20,4,8,10,40,5
20,2,8,12,46,5
20,2,9,12,50,5
20,4,9,14,51,5
20,6,9,16,50,5
20,8,10,16,48,5
20,9,10,18,44,5
20,9,11,16,38,5
20,8,11,20,42,5
20,7,12,18,42,5
20,7,12,22,47,5
20,8,12,23,49,5
20,9,13,24,46,5
20,10,13,25,46,5
20,11,14,24,41,5
20,12,14,26,41,5
20,11,15,24,42,5
20,11,15,27,41,5
20,10,15,28,42,5
20,10,16,26,45,5
20,11,16,28,46,5
20,11,16,29,45,5
20,12,17,28,41,5
20,12,17,29,43,5
20,12,17,30,43,5
20,12,18,29,37,5
20,11,18,30,43,5
20,11,18,30,45,5
20,11,19,28,41,5
20,12,19,30,44,5
20,12,19,30,44,5
20,12,19,30,43,5
20,12,20,28,40,5
20,12,20,29,41,5
20,11,20,29,42,5
20,10,20,29,46,5
20,10,21,29,49,5
20,11,21,28,42,5
20,12,21,28,43,5
20,12,21,28,41,5
20,12,21,28,41,5
20,12,22,27,40,5
20,10,22,27,40,5
20,9,22,27,43,5
20,10,22,26,46,5
20,10,22,26,44,5
20,11,22,26,42,5
20,11,22,25,40,5
20,11,23,22,40,5
20,9,23,24,36,5
20,8,23,23,45,5
20,8,23,23,46,5
20,9,23,23,44,5
20,10,23,22,43,5
20,10,23,22,40,5
20,10,23,21,38,5
20,8,23,21,37,5
20,7,23,20,42,5
20,7,23,20,43,5
20,7,23,19,43,5
20,8,23,19,43,5
20,8,23,19,40,5
20,8,23,18,40,5
20,7,23,18,39,5
20,6,23,17,41,5
20,5,23,17,45,5
20,6,23,16,47,5
20,7,23,16,44,5
20,7,23,15,41,5
20,7,23,15,38,5
20,6,23,15,37,5
20,5,23,14,40,5
20,4,23,14,43,5
20,4,23,13,45,5
20,5,23,13,45,5
20,6,23,12,39,5
20,5,23,12,38,5
20,4,23,11,41,5
20,4,23,11,42,5
20,4,23,10,42,5
20,4,22,10,42,5
20,5,22,10,42,5
20,5,22,10,40,5
20,5,22,10,39,5
20,3,22,9,39,5
20,2,22,9,42,5
20,2,22,9,45,5
20,4,22,9,43,5
20,4,22,8,40,5
20,4,22,8,40,5
20,4,22,8,39,5
20,4,22,7,38,5
20,2,22,10,38,5
20,1,21,8,39,5
20,2,21,7,46,5
20,3,21,7,43,5
20,4,20,8,41,5
20,3,20,8,40,5
20,2,20,8,41,5
20,2,20,8,45,5
20,3,20,8,44,5
20,4,20,8,41,5
20,4,20,8,40,5
20,4,20,8,40,5
20,4,20,8,39,5
20,3,20,8,39,5
20,2,20,8,40,5
20,2,20,8,45,5
20,3,20,8,45,5
20,4,20,8,42,5
20,4,19,10,46,5
20,4,19,8,42,5
20,5,19,10,40,5
20,3,20,8,40,5
20,2,20,8,43,5
20,2,19,9,50,5
20,4,19,9,46,5
20,5,19,9,43,5
20,5,19,9,40,5
20,5,19,10,40,5
20,4,19,10,40,6
20,3,19,10,41,6
20,2,19,10,44,6
20,3,19,10,48,6
20,5,19,10,47,6
20,6,19,10,42,6
20,6,19,11,38,6
20,6,19,11,38,6
20,4,19,11,39,6
20,3,20,8,42,6
20,3,19,13,43,6
20,4,19,11,46,6
20,5,19,11,43,6
20,6,19,8,37,6
20,5,20,11,38,6
20,4,20,11,41,6
20,4,20,11,43,6
20,5,20,11,43,6
20,5,20,11,41,6
20,5,20,11,41,6
20,5,20,11,40,6
20,4,20,11,41,6
20,4,20,11,42,6
20,5,20,11,43,6
20,5,20,11,40,6
20,5,20,11,40,6
20,3,20,11,42,6
20,3,20,11,45,6
20,4,20,11,45,6
20,5,20,11,45,6
20,5,20,11,41,6
20,6,20,11,40,6
20,5,20,11,37,6
20,4,20,11,39,6
20,3,20,11,42,6
20,4,20,11,44,6
20,4,20,11,43,6
20,5,20,11,41,6
20,5,20,11,41,6
20,5,20,11,40,6
20,4,20,11,40,6
20,3,20,11,41,6
20,3,20,11,44,6
20,4,20,11,44,6
20,5,20,11,43,6
20,5,20,11,41,6
20,5,20,11,41,6
20,5,20,11,40,6
20,4,20,11,40,6
20,3,20,11,45,6
20,4,20,11,45,6
20,5,20,11,43,6
20,5,20,11,41,6
20,4,20,11,41,6
20,5,20,11,43,6
20,5,20,11,41,6
20,5,20,11,41,6
20,5,20,11,40,6
20,3,20,11,42,6
20,3,20,11,45,6
20,4,20,11,45,6
20,5,20,11,44,6
20,5,20,11,41,6
20,6,20,11,40,6
20,5,20,11,38,6
20,4,20,11,40,6
20,3,20,11,42,6
20,3,20,11,45,6
20,4,20,11,45,6
20,5,20,11,42,6
20,5,20,11,41,6
20,5,20,11,41,6
20,5,20,11,41,6
20,4,20,11,40,6
20,3,20,11,45,6
20,3,20,11,45,6
20,3,20,11,47,6
20,4,20,11,46,6
20,5,20,11,44,6
20,6,20,11,42,6
20,6,20,11,39,6
20,4,20,11,40,6
20,3,20,11,43,6
20,4,20,11,45,6
20,4,20,11,44,6
20,5,20,11,42,6
20,5,20,11,41,6
20,5,20,11,41,6
20,5,20,11,40,6
20,4,20,11,41,6
20,3,20,11,44,6
20,4,20,11,45,6
20,4,20,11,44,6
20,5,20,11,41,6
20,5,20,11,41,6
20,6,20,11,39,6
20,5,20,11,37,6
20,3,20,11,40,6
20,3,20,11,43,6
20,4,20,11,45,6
20,4,20,11,43,6
20,5,20,11,42,6
20,5,20,11,41,6
20,5,20,11,41,6
20,5,20,11,40,6
20,5,20,11,40,6
20,4,20,11,40,6
20,3,20,11,43,6
20,3,20,11,47,6
20,4,20,11,46,6
20,5,20,11,45,6
20,5,20,11,43,6
20,6,20,11,40,6
20,6,20,11,37,6
20,5,20,11,39,6
20,3,20,11,41,6
20,3,20,11,44,6
20,4,20,11,45,6
20,4,20,11,44,6
20,5,20,11,41,6
20,6,20,11,41,6
20,5,20,11,40,6
20,5,20,11,40,6
20,5,20,11,40,6
20,3,20,11,40,6
20,3,20,11,45,6
20,3,20,11,45,6
20,4,20,11,44,6
20,5,20,11,43,6
20,5,20,11,41,6
20,5,20,11,39,6
20,4,20,11,41,6
20,4,20,11,42,6
20,5,20,11,42,6
20,5,20,11,40,6
20,5,20,11,40,6
20,5,20,11,40,6
20,4,20,11,40,6
20,3,20,11,44,6
20,3,20,11,45,6
20,4,20,11,44,6
20,5,20,11,43,6
20,5,20,11,41,6
20,5,20,11,41,6
20,4,20,11,42,6
20,3,20,11,45,6
20,4,20,11,45,6
20,5,20,11,43,6
20,5,20,11,41,6
20,6,20,11,41,6
20,5,20,11,38,6
20,4,20,11,41,6
20,3,20,11,42,6
20,2,20,11,45,6
20,3,20,11,49,6
20,4,20,11,47,6
20,5,20,11,45,6
20,6,20,11,41,6
20,6,20,11,38,6
20,5,20,11,39,6
20,3,20,11,42,6
20,3,20,11,44,6
20,4,20,11,46,6
20,5,20,11,44,6
20,5,20,11,42,6
20,6,20,11,39,6
20,5,20,11,38,6
20,4,20,11,40,6
20,3,20,11,41,6
32,3,20,14,49,1
32,4,20,16,51,1
32,6,20,18,51,1
32,8,20,19,48,1
32,9,20,21,46,1
32,10,20,23,45,1
32,11,20,25,44,1
32,11,20,27,43,1
32,11,21,27,42,1
32,11,21,29,44,1
32,11,21,31,47,1
32,12,21,33,48,1
32,13,22,30,49,1
32,14,22,35,45,1
32,15,22,37,47,1
32,15,22,38,45,1
32,16,23,37,46,1
32,17,23,40,44,1
32,17,23,41,45,1
32,18,23,43,45,1
32,18,24,43,42,1
32,18,24,45,44,1
32,18,24,46,45,1
32,19,25,46,46,1
32,19,25,47,44,1
32,19,25,48,45,1
32,20,26,49,46,1
32,20,26,49,44,1
32,21,26,51,45,1
32,21,27,46,44,1
32,21,27,51,41,1
32,21,27,52,44,1
32,21,27,53,45,1
32,21,28,53,43,1
32,22,28,54,46,1
32,22,28,54,44,1
32,22,29,55,44,1
32,21,29,54,45,1
32,19,29,55,49,1
32,20,29,55,52,1
32,22,29,56,51,1
32,22,30,55,42,1
32,22,30,56,46,1
32,23,30,56,46,1
32,23,30,56,44,1
32,23,31,56,42,1
32,23,31,56,42,1
32,22,31,56,42,1
32,20,31,56,46,1
32,21,32,57,51,1
32,22,32,56,50,1
32,23,32,56,47,1
32,23,32,56,44,1
32,23,32,56,43,1
32,23,32,56,43,1
32,23,33,56,42,1
32,22,33,55,39,1
32,21,33,55,45,1
32,19,33,55,50,1
32,20,33,55,51,1
32,22,33,54,50,1
32,22,33,54,47,1
32,23,33,54,45,1
32,23,34,51,38,1
32,21,34,53,41,1
32,19,34,53,46,1
32,20,34,52,49,1
32,20,34,52,48,1
32,22,34,52,46,1
32,22,34,52,44,1
32,22,34,51,40,1
32,21,34,51,41,1
32,19,34,51,44,1
32,19,34,50,47,1
32,20,34,50,47,1
32,20,34,50,45,1
32,21,35,49,43,1
32,21,35,48,40,1
32,19,35,48,40,1
32,17,35,47,44,1
32,18,35,47,47,1
32,18,35,47,47,1
32,19,35,46,42,1
32,19,35,46,41,1
32,19,35,45,40,1
32,17,35,45,40,1
32,16,35,44,44,1
32,17,35,44,48,1
32,18,35,43,45,1
32,18,35,43,42,1
32,18,35,42,41,1
32,17,35,42,40,1
32,16,35,42,41,1
32,15,35,41,44,1
32,15,34,43,49,1
32,17,34,41,46,1
32,17,34,41,43,1
32,17,34,41,43,1
32,17,34,40,42,1
32,17,34,40,41,1
32,17,34,40,40,1
32,16,34,39,40,1
32,16,34,39,41,1
32,15,34,39,41,1
32,15,34,38,42,1
32,15,34,38,42,1
32,15,34,38,43,1
32,15,34,38,42,1
32,15,34,37,41,1
32,14,34,37,41,1
32,14,34,37,41,1
32,14,34,36,43,1
32,15,34,36,41,1
32,15,34,36,40,1
32,14,34,35,40,1
32,12,33,39,44,1
32,13,33,36,49,1
32,14,33,36,49,1
32,15,33,35,47,1
32,15,33,35,41,1
32,15,33,35,40,2
32,14,33,35,40,2
32,12,33,35,44,2
32,13,33,35,48,2
32,14,33,34,47,2
32,15,33,34,42,2
32,15,33,34,40,2
32,15,33,34,39,2
32,13,33,34,40,2
32,12,33,34,44,2
32,12,32,34,47,2
32,13,32,35,49,2
32,15,32,34,44,2
32,16,32,34,41,2
32,15,32,34,40,2
32,14,32,34,39,2
32,12,32,34,41,2
32,12,32,34,45,2
32,13,32,34,48,2
32,14,32,34,46,2
32,15,32,34,43,2
32,15,32,34,40,2
32,14,32,34,39,2
32,13,32,34,44,2
32,12,32,34,48,2
32,13,32,34,48,2
32,14,32,34,47,2
32,15,32,34,41,2
32,15,32,34,40,2
32,14,32,34,39,2
32,13,32,34,41,2
32,12,32,34,46,2
32,13,32,34,48,2
32,14,31,37,45,2
32,15,31,35,45,2
32,15,32,33,41,2
32,15,31,35,42,2
32,15,31,35,40,2
32,14,32,34,37,2
32,12,31,36,46,2
32,11,31,36,52,2
32,12,31,36,54,2
32,13,31,36,53,2
32,15,31,36,50,2
32,16,31,36,46,2
32,17,31,36,40,2
32,16,31,37,39,2
32,15,31,37,40,2
32,13,31,37,44,2
32,14,31,37,49,2
32,14,31,37,50,2
32,16,31,37,48,2
32,16,31,38,42,2
32,16,31,38,42,2
32,16,31,38,42,2
32,15,31,38,42,2
32,15,31,38,43,2
32,16,31,36,41,2
32,16,32,38,41,2
32,15,32,38,41,2
32,14,32,38,42,2
32,12,32,38,47,2
32,14,32,38,50,2
32,15,32,36,50,2
32,16,31,39,47,2
32,17,32,36,44,2
